time,gender,n
1994,Men,6653
1994,Women,5832
1995,Men,6737
1995,Women,5988
1996,Men,6878
1996,Women,6006
1997,Men,6845
1997,Women,6066
1998,Men,6932
1998,Women,6096
1999,Men,7066
1999,Women,6107
2000,Men,7213
2000,Women,6234
2001,Men,7313
2001,Women,6338
2002,Men,7440
2002,Women,6446
2003,Men,7421
2003,Women,6465
2004,Men,7656
2004,Women,6691
2005,Men,7739
2005,Women,6764
2006,Men,7679
2006,Women,6906
2007,Men,7746
2007,Women,6975
2008,Men,7913
2008,Women,7173
2009,Men,7982
2009,Women,7124
2010,Men,8144
2010,Women,7325
2011,Men,8316
2011,Women,7546
2012,Men,8491
2012,Women,7690
2013,Men,8633
2013,Women,7821
2014,Men,8803
2014,Women,8015
2015,Men,8922
2015,Women,8070
2016,Men,9133
2016,Women,8183
2017,Men,9266
2017,Women,8334
2018,Men,9359
2018,Women,8437
2019,Men,9451
2019,Women,8533
